Summary,Issue Type,Status,Project key,Project name,Priority,Assignee,Reporter,Creator,Component/s,Custom field (Bộ phận phản ánh),Custom field (Ghi chú (Mô tả vấn đề)),Custom field (Kênh hỗ trợ),Custom field (Loại hỗ trợ),Custom field (Loại lỗi),Custom field (Severity),Custom field (Thêm labels),Custom field (Độ khó),Custom field (Phân loại yêu cầu)
"PHP < 7.3.28, 7.4.x < 7.4.18 IMAP Header Injection Vulnerability (Apr 2021) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.3.28, 7.4.x < 7.4.18 IMAP Header Injection Vulnerability (Apr 2021) - Windows""
- CVSS: AV:N/AC:L/Au:N/C:P/I:N/A:N - 5.0
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to an IMAP header injection vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 7.3.28, 7.4.18 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
PHP < 7.3.29 Multiple Vulnerabilities (Jul 2021) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.3.29 Multiple Vulnerabilities (Jul 2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to multiple vulnerabilities. The following flaws exist: - CVE-2021-21705: SSRF bypass in FILTER_VALIDATE_URL. - CVE-2021-21704: Stack buffer overflow in firebird_info_cb. - CVE-2021-21704: SIGSEGV in firebird_handle_doer. - CVE-2021-21704: SIGSEGV in firebird_stmt_execute. - CVE-2021-21704: Crash while parsing blob data in firebird_fetch_blob.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: apache:http_server
- Resolution: Update to version 7.3.29 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 7.3.30, 7.4.x < 7.4.23, 8.0.x < 8.0.10 Security Update (Aug 2021) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.3.30, 7.4.x < 7.4.23, 8.0.x < 8.0.10 Security Update (Aug 2021) - Windows""
- CVSS: AV:N/AC:L/Au:N/C:P/I:N/A:N - 5.0
- Related CVE: []
- Severity: Medium
- Description: PHP released new versions which include security fixes.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 7.3.30, 7.4.23, 8.0.10 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 7.3.30, 7.4.x < 7.4.23, 8.0.x < 8.0.10 Security Update (Sep 2021) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.3.30, 7.4.x < 7.4.23, 8.0.x < 8.0.10 Security Update (Sep 2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP released new versions which include a security fix. Fixed bug #81420 (ZipArchive::extractTo extracts outside of destination).
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 7.3.31, 7.4.24, 8.0.11 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 7.3.33, 7.4.x < 7.4.26, 8.0.x < 8.0.13 Security Update (Nov 2021) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.3.33, 7.4.x < 7.4.26, 8.0.x < 8.0.13 Security Update (Nov 2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP released new versions which include a security fix. Fixed bug #79971 (special character is breaking the path in xml function).
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: apache:http_server
- Resolution: Update to version 7.3.33, 7.4.26, 8.0.13 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP released new versions which include a security fix. Fix #81708: UAF due to php_filter_float() failing for ints.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: apache:http_server
- Resolution: Update to version 7.4.28, 8.0.16, 8.1.3 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 7.4.30, 8.0.x < 8.0.20, 8.1.x < 8.1.7 Security Update (Jun 2022) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.4.30, 8.0.x < 8.0.20, 8.1.x < 8.1.7 Security Update (Jun 2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP released new versions which include a security fix. The following vulnerabilities exist: - CVE-2022-31625: Uninitialized array in pg_query_params() - CVE-2022-31626: mysqlnd/pdo password buffer overflow
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 7.4.30, 8.0.20, 8.1.7 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"PHP < 7.4.31, 8.0.x < 8.0.24, 8.1.x < 8.1.11 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.4.31, 8.0.x < 8.0.24, 8.1.x < 8.1.11 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2022-31628: The phar uncompressor code would recursively uncompress 'quines' gzip files, resulting in an infinite loop. - CVE-2022-31629: The vulnerability enables network and same-site attackers to set a standard insecure cookie in the victim's browser which is treated as a '__Host-' or '__Secure-' cookie by PHP applications.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 7.4.31, 8.0.24, 8.1.11 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont() - CVE-2022-37454: Buffer overflow in hash_update() on long parameter
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 7.4.33, 8.0.25, 8.1.12 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 8.0.22, 8.1.x < 8.1.9 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.0.22, 8.1.x < 8.1.9 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to a buffer overflow vulnerability. Fixed potential overflow for the builtin server via the PHP_CLI_SERVER_WORKERS environment variable.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 8.0.22, 8.1.9, 8.2.0 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 8.0.27, 8.1.x < 8.1.14, 8.2.x < 8.2.1 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.0.27, 8.1.x < 8.1.14, 8.2.x < 8.2.1 Security Update - Windows""
- CVSS: AV:N/AC:L/Au:N/C:N/I:N/A:C - 7.8
- Related CVE: []
- Severity: High
- Description: PHP is prone to an integer overflow vulnerability. Due to an uncaught integer overflow, PDO::quote() of PDO_SQLite may return a not properly quoted string.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 8.0.27, 8.1.14, 8.2.1 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"PHP < 8.0.28, 8.1.x < 8.1.16, 8.2.x < 8.2.3 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.0.28, 8.1.x < 8.1.16, 8.2.x < 8.2.3 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP is prone to multiple vulnerabilities. The following flaws exist: - CVE-2023-0567: Fixed bug #81744 (Password_verify() always return true with some hash) - CVE-2023-0568: Fixed bug #81746 (1-byte array overrun in common path resolve code) - CVE-2023-0662: Fixed bug GHSA-54hq-v5wp-fqgv (DOS vulnerability when parsing multipart request body)
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 8.0.28, 8.1.16, 8.2.3 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"PHP < 8.0.29, 8.1.x < 8.1.20, 8.2.x < 8.2.7 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.0.29, 8.1.x < 8.1.20, 8.2.x < 8.2.7 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to a missing error check and insufficient random bytes in HTTP Digest authentication for SOAP vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 8.0.29, 8.1.10, 8.2.7 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following flaws exist: - CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML without enabling it) - CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 8.0.30, 8.1.22, 8.2.9 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windows""
- CVSS: AV:N/AC:L/Au:N/C:C/I:C/A:P - 9.7
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2024-1874: Command injection via array-ish $command parameter of proc_open even if bypass_shell option enabled - CVE-2024-3096: password_verify can erroneously return true, opening ATO risk
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: apache:http_server
- Resolution: Update to version 8.1.28, 8.2.18, 8.3.6 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823) - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL - CVE-2024-5585: Bypass of CVE-2024-1874 - CVE-2024-2408: Marvin attack in OpenSSL on Windows builds
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Update to version 8.1.29, 8.2.20, 8.3.8 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2024-8925, CVE-2024-8928: Erroneous parsing of multipart form data - CVE-2024-8926: Bypass of CVE-2024-4577, Parameter Injection Vulnerability - CVE-2024-8927: cgi.force_redirect configuration is bypassable due to the environment variable collision - CVE-2024-9026: Logs from children may be altered
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 8.1.30, 8.2.24, 8.3.12 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2024-8929: Leak partial content of the heap through heap buffer over-read - CVE-2024-8932: OOB access in ldap_escape - CVE-2024-11233: Single byte overread with convert.quoted-printable-decode filter - CVE-2024-11234: Configuring a proxy in a stream context might allow for CRLF injection in URIs - CVE-2024-11236: Integer overflow in the firebird/dblib quoter causing OOB writes - No CVE: Heap-Use-After-Free in sapi_read_post_data Processing in CLI SAPI Interface
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 8.1.31, 8.2.26, 8.3.14 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Windows""
- CVSS: AV:N/AC:L/Au:N/C:P/I:N/A:N - 5.0
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2025-1217: Header parser of 'http' stream wrapper does not handle folded headers - CVE-2025-1219: libxml streams use wrong 'content-type' header when requesting a redirected resource - CVE-2025-1734: Streams HTTP wrapper does not fail for headers without colon - CVE-2025-1736: Stream HTTP wrapper header check might omit basic auth header - CVE-2025-1861: Stream HTTP wrapper truncate redirect location to 1024 bytes
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Update to version 8.1.32, 8.2.28 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
PHP End of Life (EOL) Detection - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP End of Life (EOL) Detection - Windows""
- CVSS: AV:N/AC:L/Au:N/C:C/I:C/A:C - 10.0
- Related CVE: []
- Severity: Critical
- Description: The PHP version on the remote host has reached the end of life (EOL) and should not be used anymore. Each release branch of PHP is fully supported for two years from its initial stable release. During this period, bugs and security issues that have been reported are fixed and are released in regular point releases. After this two year period of active support, each branch is then supported for an additional year for critical security issues only. Releases during this period are made on an as-needed basis: there may be multiple point releases, or none, depending on the number of reports. Once the three years of support are completed, the branch reaches its end of life and is no longer supported.
- Impact: Impact: An EOL version of PHP is not receiving any security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the security of this host.
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Update the PHP version on the remote host to a still supported version.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
PHP Heap Use-After-Free Vulnerability (Sep 2019) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Heap Use-After-Free Vulnerability (Sep 2019) - Windows""
- CVSS: AV:N/AC:M/Au:N/C:P/I:P/A:P - 6.8
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to a heap-based use-after-free vulnerability. PHP is prone to a heap use-after-free in pcrelib (cmb).
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 7.1.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
PHP Multiple Heap Buffer Overflow and Information Disclosure Vulnerabilities - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Multiple Heap Buffer Overflow and Information Disclosure Vulnerabilities - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP is prone to multiple heap buffer overflow and information disclosure vulnerabilities. Multiple flaws exist due to: - exif_process_IFD_in_MAKERNOTE function in exif.c file suffers from improper validation against crafted JPEG files. - exif_thumbnail_extract function in exif.c file suffers from improper validation of length of 'ImageInfo->Thumbnail.offset + ImageInfo->Thumbnail.size' - linkinfo function on windows doesn't implement openbasedir check.
- Impact: Impact: Successful exploitation will allow attackers to cause heap overflow, denial of service and disclose sensitive information.
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to PHP version 5.6.37, 7.0.31, 7.1.20 or 7.2.8 or later. Please see the references for more information.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
PHP Multiple Vulnerabilities (Dec 2018) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Multiple Vulnerabilities (Dec 2018) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP is prone to multiple security vulnerabilities. The flaws exist due to: - the imap_open functions which allows to run arbitrary shell commands via mailbox parameter. - a Heap Buffer Overflow (READ: 4) in phar_parse_pharfile. - ext/standard/var_unserializer.c allows attackers to cause a denial of service (application crash) via an unserialize call for the com, dotnet, or variant class. - because com and com_safearray_proxy return NULL in com_properties_get in ext/com_dotnet/com_handlers.c, as demonstrated by a serialize call on COM('WScript.Shell').
- Impact: Impact: Successful exploitation will allow remote attackers to execute remote code on the affected application/system and/or cause a cause a denial of service.
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: apache:http_server
- Resolution: Update to version 5.6.39, 7.0.33, 7.1.25, 7.2.13, 7.3.0 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
PHP Multiple Vulnerabilities (Feb 2019) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Multiple Vulnerabilities (Feb 2019) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: PHP is prone to multiple vulnerabilities. The following flaws exist: - Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free). (CVE-2016-10166) - Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap). (CVE-2019-6977) - Fixed bug #77370 (Buffer overflow on mb regex functions - fetch_token). (CVE-2019-9023) - Fixed bug #77371 (heap buffer overflow in mb regex functions - compile_string_node). (CVE-2019-9023) - Fixed bug #77381 (heap buffer overflow in multibyte match_at). (CVE-2019-9023) - Fixed bug #77382 (heap buffer overflow due to incorrect length in expand_case_fold_string). (CVE-2019-9023) - Fixed bug #77385 (buffer overflow in fetch_token). (CVE-2019-9023) - Fixed bug #77394 (Buffer overflow in multibyte case folding - unicode). (CVE-2019-9023) - Fixed bug #77418 (Heap overflow in utf32be_mbc_to_code). (CVE-2019-9023) - Fixed bug #77247 (heap buffer overflow in phar_detect_phar_fname_ext). (CVE-2019-9021) - Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()). (CVE-2019-9020) - Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code). (CVE-2019-9024)
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
PHP Multiple Vulnerabilities (May 2018) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Multiple Vulnerabilities (May 2018) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: PHP is prone to multiple vulnerabilities. Multiple flaws exist due to - An out of bounds read error in 'exif_read_data' function while processing crafted JPG data. - An error in stream filter 'convert.iconv' which leads to infinite loop on invalid sequence. - An error in the LDAP module of PHP which allows a malicious LDAP server or man-in-the-middle attacker to crash PHP. - An error in the 'phar_do_404()' function in 'ext/phar/phar_object.c' script which returns parts of the request unfiltered, leading to another XSS vector. This is due to incomplete fix for CVE-2018-5712.
- Impact: Impact: Successful exploitation will allow an attacker to conduct XSS attacks, crash PHP, conduct denial-of-service condition and execute arbitrary code in the context of the affected application.
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Update to version 7.2.5 or 7.0.30 or 5.6.36 or 7.1.17 or later. Please see the references for more information.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
PHP Multiple Vulnerabilities (Sep 2019) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""PHP Multiple Vulnerabilities (Sep 2019) - Windows""
- CVSS: AV:N/AC:M/Au:N/C:P/I:P/A:P - 6.8
- Related CVE: []
- Severity: Medium
- Description: PHP is prone to multiple vulnerabilities. PHP is prone to multiple vulnerabilities: - Buffer overflow in zendparse - Cast to object confuses GC, causes crash - Exif crash (bus error) due to wrong alignment and invalid cast - Use-after-free in FPM master event handling
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: SSLInfo
- Resolution: Update to version 7.2.22, 7.3.9 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
